Date,Open,High,Low,Close,Volume
2017-05-01,141.55,142.14,140.01,142.03,1671428
2017-05-02,142.5,143.58,142.01,143.52,2492276
2017-05-03,143.49,144.32,143.26,143.82,1906723
2017-05-04,143.91,145.58,143.9,144.76,2303220
2017-05-05,145.0,147.66,145.0,147.22,2316929
2017-05-08,146.82,147.39,145.93,146.19,1589901
2017-05-09,146.2,146.44,144.98,145.3,943767
2017-05-10,145.45,145.6,144.64,145.25,928282
2017-05-11,144.99,145.05,143.29,143.86,1065764
2017-05-12,143.86,145.11,143.72,144.07,1288056
2017-05-15,144.51,145.22,144.12,145.08,710562
