Date,Open,High,Low,Close,Volume
2017-05-01,162.0,162.5,155.21,155.84,1179404
2017-05-02,155.23,157.12,152.67,154.79,1067616
2017-05-03,154.05,155.85,152.94,155.31,472684
2017-05-04,155.37,157.2,154.33,155.43,487194
2017-05-05,156.04,156.31,154.33,154.71,627275
2017-05-08,154.83,155.34,152.81,154.04,525526
2017-05-09,153.37,154.63,152.34,154.0,563058
2017-05-10,154.0,154.21,152.98,154.04,483953
2017-05-11,153.05,153.8,150.52,152.42,588187
2017-05-12,152.05,154.03,151.88,153.58,476975
2017-05-15,154.04,155.38,154.02,154.75,294961
